=== 2026-01-21T08:46:16 doc_id=489 page=7 phase=pass1 steps=822 min_openxml_idx=429 pdf_units=195 openxml_units=969 ===
[0] Block0 Char="μ" PDF[0] -> U0(pdf_0) OX[4142] -> U415(93770) | SKIP cross_page_backward: openxml_idx=415 < min_from_prev_page=429
[435] Block60 Char="p" PDF[443] -> U107(pdf_107) OX[5155] -> U445(93800_r0_c0) | MATCH continue_existing_assignment cnt:3
[436] Block60 Char="r" PDF[444] -> U107(pdf_107) OX[5156] -> U445(93800_r0_c0) | MATCH continue_existing_assignment cnt:4
[437] Block60 Char="e" PDF[445] -> U107(pdf_107) OX[5157] -> U445(93800_r0_c0) | MATCH continue_existing_assignment cnt:5
[438] Block60 Char="d" PDF[446] -> U107(pdf_107) OX[5158] -> U445(93800_r0_c0) | MATCH continue_existing_assignment cnt:6
[439] Block60 Char="i" PDF[447] -> U107(pdf_107) OX[5159] -> U445(93800_r0_c0) | MATCH continue_existing_assignment cnt:7
[440] Block60 Char="k" PDF[448] -> U107(pdf_107) OX[5160] -> U445(93800_r0_c0) | MATCH continue_existing_assignment cnt:8
[441] Block60 Char="a" PDF[449] -> U107(pdf_107) OX[5161] -> U445(93800_r0_c0) | MATCH continue_existing_assignment cnt:9
[442] Block60 Char="t" PDF[450] -> U107(pdf_107) OX[5162] -> U445(93800_r0_c0) | MATCH continue_existing_assignment cnt:10
[443] Block61 Char="1" PDF[451] -> U107(pdf_107) OX[5165] -> U445(93800_r0_c0) | MATCH continue_existing_assignment cnt:11
[444] Block61 Char="=" PDF[452] -> U108(pdf_108) OX[5166] -> U446(93800_r0_c1) | MATCH new_assignment cnt:1
[445] Block61 Char="m" PDF[453] -> U109(pdf_109) OX[5167] -> U446(93800_r0_c1) | MATCH new_assignment cnt:1
[446] Block61 Char="i" PDF[454] -> U109(pdf_109) OX[5168] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:2
[447] Block61 Char="n" PDF[455] -> U109(pdf_109) OX[5169] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:3
[448] Block61 Char="μ" PDF[456] -> U110(pdf_110) OX[5170] -> U446(93800_r0_c1) | MATCH new_assignment cnt:1
[449] Block61 Char="c" PDF[457] -> U110(pdf_110) OX[5171] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:2
[450] Block61 Char="r" PDF[458] -> U110(pdf_110) OX[5172] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:3
[451] Block61 Char="1" PDF[459] -> U110(pdf_110) OX[5173] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:4
[452] Block61 Char="(" PDF[460] -> U110(pdf_110) OX[5174] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:5
[453] Block61 Char="1" PDF[461] -> U110(pdf_110) OX[5175] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:6
[454] Block61 Char="." PDF[462] -> U110(pdf_110) OX[5176] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:7
[455] Block61 Char="2" PDF[463] -> U110(pdf_110) OX[5177] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:8
[456] Block61 Char="8" PDF[464] -> U110(pdf_110) OX[5178] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:9
[457] Block61 Char=")" PDF[465] -> U110(pdf_110) OX[5179] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:10
[458] Block61 Char="∩" PDF[466] -> U111(pdf_111) OX[5180] -> U446(93800_r0_c1) | MATCH new_assignment cnt:1
[459] Block61 Char="μ" PDF[467] -> U112(pdf_112) OX[5181] -> U446(93800_r0_c1) | MATCH new_assignment cnt:1
[460] Block61 Char="d" PDF[468] -> U112(pdf_112) OX[5182] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:2
[461] Block61 Char="e" PDF[469] -> U112(pdf_112) OX[5183] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:3
[462] Block61 Char="r" PDF[470] -> U112(pdf_112) OX[5184] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:4
[463] Block61 Char="1" PDF[471] -> U112(pdf_112) OX[5185] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:5
[464] Block61 Char="(" PDF[472] -> U112(pdf_112) OX[5186] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:6
[465] Block61 Char="1" PDF[473] -> U112(pdf_112) OX[5187] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:7
[466] Block61 Char="3" PDF[474] -> U112(pdf_112) OX[5188] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:8
[467] Block61 Char="." PDF[475] -> U112(pdf_112) OX[5189] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:9
[468] Block61 Char="9" PDF[476] -> U112(pdf_112) OX[5190] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:10
[469] Block61 Char="8" PDF[477] -> U112(pdf_112) OX[5191] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:11
[470] Block61 Char=")" PDF[478] -> U112(pdf_112) OX[5192] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:12
[471] Block61 Char="∩" PDF[479] -> U113(pdf_113) OX[5193] -> U446(93800_r0_c1) | MATCH new_assignment cnt:1
[472] Block61 Char="μ" PDF[480] -> U114(pdf_114) OX[5194] -> U446(93800_r0_c1) | MATCH new_assignment cnt:1
[473] Block61 Char="r" PDF[481] -> U114(pdf_114) OX[5195] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:2
[474] Block61 Char="o" PDF[482] -> U114(pdf_114) OX[5196] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:3
[475] Block61 Char="a" PDF[483] -> U114(pdf_114) OX[5197] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:4
[476] Block61 Char="1" PDF[484] -> U114(pdf_114) OX[5198] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:5
[477] Block61 Char="(" PDF[485] -> U114(pdf_114) OX[5199] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:6
[478] Block61 Char="0" PDF[486] -> U114(pdf_114) OX[5200] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:7
[479] Block61 Char="." PDF[487] -> U114(pdf_114) OX[5201] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:8
[480] Block61 Char="0" PDF[488] -> U114(pdf_114) OX[5202] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:9
[481] Block61 Char="9" PDF[489] -> U114(pdf_114) OX[5203] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:10
[482] Block61 Char=")" PDF[490] -> U114(pdf_114) OX[5204] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:11
[483] Block61 Char=";" PDF[491] -> U115(pdf_115) OX[5205] -> U446(93800_r0_c1) | MATCH new_assignment cnt:1
[484] Block61 Char="μ" PDF[492] -> U115(pdf_115) OX[5206] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:2
[485] Block61 Char="r" PDF[493] -> U115(pdf_115) OX[5207] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:3
[486] Block61 Char="o" PDF[494] -> U115(pdf_115) OX[5208] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:4
[487] Block61 Char="e" PDF[495] -> U115(pdf_115) OX[5209] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:5
[488] Block61 Char="1" PDF[496] -> U115(pdf_115) OX[5210] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:6
[489] Block61 Char="(" PDF[497] -> U115(pdf_115) OX[5211] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:7
[490] Block61 Char="1" PDF[498] -> U115(pdf_115) OX[5212] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:8
[491] Block61 Char="." PDF[499] -> U115(pdf_115) OX[5213] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:9
[492] Block61 Char="3" PDF[500] -> U115(pdf_115) OX[5214] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:10
[493] Block61 Char="8" PDF[501] -> U115(pdf_115) OX[5215] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:11
[494] Block61 Char=")" PDF[502] -> U115(pdf_115) OX[5216] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:12
[495] Block61 Char="∩" PDF[503] -> U116(pdf_116) OX[5217] -> U446(93800_r0_c1) | MATCH new_assignment cnt:1
[496] Block61 Char="μ" PDF[504] -> U117(pdf_117) OX[5218] -> U446(93800_r0_c1) | MATCH new_assignment cnt:1
[497] Block61 Char="g" PDF[505] -> U117(pdf_117) OX[5219] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:2
[498] Block61 Char="p" PDF[506] -> U117(pdf_117) OX[5220] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:3
[499] Block61 Char="m" PDF[507] -> U117(pdf_117) OX[5221] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:4
[500] Block61 Char="1" PDF[508] -> U117(pdf_117) OX[5222] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:5
[501] Block61 Char="(" PDF[509] -> U117(pdf_117) OX[5223] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:6
[502] Block61 Char="0" PDF[510] -> U117(pdf_117) OX[5224] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:7
[503] Block61 Char="." PDF[511] -> U117(pdf_117) OX[5225] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:8
[504] Block61 Char="1" PDF[512] -> U117(pdf_117) OX[5226] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:9
[505] Block61 Char="9" PDF[513] -> U117(pdf_117) OX[5227] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:10
[506] Block61 Char=")" PDF[514] -> U117(pdf_117) OX[5228] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:11
[507] Block61 Char="∩" PDF[515] -> U117(pdf_117) OX[5229] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:12
[508] Block61 Char="μ" PDF[516] -> U117(pdf_117) OX[5230] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:13
[509] Block61 Char="t" PDF[517] -> U117(pdf_117) OX[5231] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:14
[510] Block61 Char="a" PDF[518] -> U117(pdf_117) OX[5232] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:15
[511] Block61 Char="t" PDF[519] -> U117(pdf_117) OX[5233] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:16
[512] Block61 Char="1" PDF[520] -> U117(pdf_117) OX[5234] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:17
[513] Block61 Char="(" PDF[521] -> U117(pdf_117) OX[5235] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:18
[514] Block61 Char="1" PDF[522] -> U117(pdf_117) OX[5236] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:19
[515] Block61 Char="." PDF[523] -> U117(pdf_117) OX[5237] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:20
[516] Block61 Char="4" PDF[524] -> U117(pdf_117) OX[5238] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:21
[517] Block61 Char="7" PDF[525] -> U117(pdf_117) OX[5239] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:22
[518] Block61 Char=")" PDF[526] -> U117(pdf_117) OX[5240] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:23
[519] Block61 Char="=" PDF[527] -> U118(pdf_118) OX[5241] -> U446(93800_r0_c1) | MATCH new_assignment cnt:1
[520] Block61 Char="m" PDF[528] -> U119(pdf_119) OX[5242] -> U446(93800_r0_c1) | MATCH new_assignment cnt:1
[521] Block61 Char="i" PDF[529] -> U119(pdf_119) OX[5243] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:2
[522] Block61 Char="n" PDF[530] -> U119(pdf_119) OX[5244] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:3
[523] Block61 Char="(" PDF[531] -> U120(pdf_120) OX[5245] -> U446(93800_r0_c1) | MATCH new_assignment cnt:1
[524] Block61 Char="1" PDF[532] -> U120(pdf_120) OX[5246] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:2
[525] Block61 Char=";" PDF[533] -> U120(pdf_120) OX[5247] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:3
[526] Block61 Char="0" PDF[534] -> U120(pdf_120) OX[5248] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:4
[527] Block61 Char="." PDF[535] -> U120(pdf_120) OX[5249] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:5
[528] Block61 Char="3" PDF[536] -> U120(pdf_120) OX[5250] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:6
[529] Block61 Char=";" PDF[537] -> U120(pdf_120) OX[5251] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:7
[530] Block61 Char="0" PDF[538] -> U120(pdf_120) OX[5252] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:8
[531] Block61 Char="." PDF[539] -> U120(pdf_120) OX[5253] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:9
[532] Block61 Char="9" PDF[540] -> U120(pdf_120) OX[5254] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:10
[533] Block61 Char="6" PDF[541] -> U120(pdf_120) OX[5255] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:11
[534] Block61 Char="," PDF[542] -> U120(pdf_120) OX[5256] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:12
[535] Block61 Char="0" PDF[543] -> U120(pdf_120) OX[5257] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:13
[536] Block61 Char="," PDF[544] -> U120(pdf_120) OX[5258] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:14
[537] Block61 Char="0" PDF[545] -> U120(pdf_120) OX[5259] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:15
[538] Block61 Char="." PDF[546] -> U120(pdf_120) OX[5260] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:16
[539] Block61 Char="7" PDF[547] -> U120(pdf_120) OX[5261] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:17
[540] Block61 Char="5" PDF[548] -> U120(pdf_120) OX[5262] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:18
[541] Block61 Char="," PDF[549] -> U120(pdf_120) OX[5263] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:19
[542] Block61 Char="0" PDF[550] -> U120(pdf_120) OX[5264] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:20
[543] Block61 Char=")" PDF[551] -> U120(pdf_120) OX[5265] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:21
[544] Block61 Char="=" PDF[552] -> U121(pdf_121) OX[5266] -> U446(93800_r0_c1) | MATCH new_assignment cnt:1
[545] Block61 Char="0" PDF[553] -> U122(pdf_122) OX[5267] -> U446(93800_r0_c1) | MATCH new_assignment cnt:1
[546] Block62 Char="=" PDF[556] -> U124(pdf_124) OX[5268] -> U446(93800_r0_c1) | MATCH new_assignment cnt:1
[547] Block62 Char="-" PDF[557] -> U125(pdf_125) OX[5269] -> U446(93800_r0_c1) | MATCH new_assignment cnt:1
[548] Block62 Char="0" PDF[558] -> U125(pdf_125) OX[5270] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:2
[549] Block62 Char="," PDF[559] -> U125(pdf_125) OX[5271] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:3
[550] Block62 Char="4" PDF[560] -> U125(pdf_125) OX[5272] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:4
[551] Block62 Char="4" PDF[561] -> U125(pdf_125) OX[5273] -> U446(93800_r0_c1) | MATCH continue_existing_assignment cnt:5
[552] Block62 Char="[" PDF[562] -> U126(pdf_126) OX[5274] -> U447(93801) | MATCH new_assignment cnt:1
[553] Block62 Char="r" PDF[563] -> U126(pdf_126) OX[5275] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[554] Block62 Char="2" PDF[564] -> U126(pdf_126) OX[5276] -> U447(93801) | MATCH continue_existing_assignment cnt:3
[555] Block62 Char="]" PDF[565] -> U126(pdf_126) OX[5277] -> U447(93801) | MATCH continue_existing_assignment cnt:4
[556] Block62 Char="i" PDF[566] -> U127(pdf_127) OX[5278] -> U447(93801) | MATCH new_assignment cnt:1
[557] Block62 Char="f" PDF[567] -> U127(pdf_127) OX[5279] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[558] Block62 Char="c" PDF[568] -> U128(pdf_128) OX[5280] -> U447(93801) | MATCH new_assignment cnt:1
[559] Block62 Char="r" PDF[569] -> U128(pdf_128) OX[5281] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[560] Block62 Char="i" PDF[570] -> U129(pdf_129) OX[5282] -> U447(93801) | MATCH new_assignment cnt:1
[561] Block62 Char="s" PDF[571] -> U129(pdf_129) OX[5283] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[562] Block62 Char="l" PDF[572] -> U130(pdf_130) OX[5284] -> U447(93801) | MATCH new_assignment cnt:1
[563] Block62 Char="o" PDF[573] -> U130(pdf_130) OX[5285] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[564] Block62 Char="a" PDF[574] -> U131(pdf_131) OX[5286] -> U447(93801) | MATCH new_assignment cnt:1
[565] Block62 Char="n" PDF[575] -> U131(pdf_131) OX[5287] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[566] Block62 Char="d" PDF[576] -> U131(pdf_131) OX[5288] -> U447(93801) | MATCH continue_existing_assignment cnt:3
[567] Block62 Char="d" PDF[577] -> U132(pdf_132) OX[5289] -> U447(93801) | MATCH new_assignment cnt:1
[568] Block62 Char="e" PDF[578] -> U132(pdf_132) OX[5290] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[569] Block62 Char="r" PDF[579] -> U132(pdf_132) OX[5291] -> U447(93801) | MATCH continue_existing_assignment cnt:3
[570] Block62 Char="i" PDF[580] -> U133(pdf_133) OX[5292] -> U447(93801) | MATCH new_assignment cnt:1
[571] Block62 Char="s" PDF[581] -> U133(pdf_133) OX[5293] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[572] Block62 Char="l" PDF[582] -> U134(pdf_134) OX[5294] -> U447(93801) | MATCH new_assignment cnt:1
[573] Block62 Char="o" PDF[583] -> U134(pdf_134) OX[5295] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[574] Block62 Char="a" PDF[584] -> U135(pdf_135) OX[5296] -> U447(93801) | MATCH new_assignment cnt:1
[575] Block62 Char="n" PDF[585] -> U135(pdf_135) OX[5297] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[576] Block62 Char="d" PDF[586] -> U135(pdf_135) OX[5298] -> U447(93801) | MATCH continue_existing_assignment cnt:3
[577] Block62 Char="r" PDF[587] -> U136(pdf_136) OX[5299] -> U447(93801) | MATCH new_assignment cnt:1
[578] Block62 Char="o" PDF[588] -> U136(pdf_136) OX[5300] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[579] Block62 Char="a" PDF[589] -> U136(pdf_136) OX[5301] -> U447(93801) | MATCH continue_existing_assignment cnt:3
[580] Block62 Char="i" PDF[590] -> U137(pdf_137) OX[5302] -> U447(93801) | MATCH new_assignment cnt:1
[581] Block62 Char="s" PDF[591] -> U137(pdf_137) OX[5303] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[582] Block62 Char="l" PDF[592] -> U138(pdf_138) OX[5304] -> U447(93801) | MATCH new_assignment cnt:1
[583] Block62 Char="o" PDF[593] -> U138(pdf_138) OX[5305] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[584] Block62 Char="a" PDF[594] -> U139(pdf_139) OX[5306] -> U447(93801) | MATCH new_assignment cnt:1
[585] Block62 Char="n" PDF[595] -> U139(pdf_139) OX[5307] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[586] Block62 Char="d" PDF[596] -> U139(pdf_139) OX[5308] -> U447(93801) | MATCH continue_existing_assignment cnt:3
[587] Block62 Char="r" PDF[597] -> U140(pdf_140) OX[5309] -> U447(93801) | MATCH new_assignment cnt:1
[588] Block62 Char="o" PDF[598] -> U140(pdf_140) OX[5310] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[589] Block62 Char="e" PDF[599] -> U140(pdf_140) OX[5311] -> U447(93801) | MATCH continue_existing_assignment cnt:3
[590] Block62 Char="i" PDF[600] -> U141(pdf_141) OX[5312] -> U447(93801) | MATCH new_assignment cnt:1
[591] Block62 Char="s" PDF[601] -> U141(pdf_141) OX[5313] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[592] Block62 Char="l" PDF[602] -> U142(pdf_142) OX[5314] -> U447(93801) | MATCH new_assignment cnt:1
[593] Block62 Char="o" PDF[603] -> U142(pdf_142) OX[5315] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[594] Block62 Char="a" PDF[604] -> U143(pdf_143) OX[5316] -> U447(93801) | MATCH new_assignment cnt:1
[595] Block62 Char="n" PDF[605] -> U143(pdf_143) OX[5317] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[596] Block62 Char="d" PDF[606] -> U143(pdf_143) OX[5318] -> U447(93801) | MATCH continue_existing_assignment cnt:3
[597] Block62 Char="g" PDF[607] -> U144(pdf_144) OX[5319] -> U447(93801) | MATCH new_assignment cnt:1
[598] Block62 Char="p" PDF[608] -> U144(pdf_144) OX[5320] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[599] Block62 Char="m" PDF[609] -> U144(pdf_144) OX[5321] -> U447(93801) | MATCH continue_existing_assignment cnt:3
[600] Block62 Char="i" PDF[610] -> U145(pdf_145) OX[5322] -> U447(93801) | MATCH new_assignment cnt:1
[601] Block62 Char="s" PDF[611] -> U145(pdf_145) OX[5323] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[602] Block62 Char="l" PDF[612] -> U146(pdf_146) OX[5324] -> U447(93801) | MATCH new_assignment cnt:1
[603] Block62 Char="o" PDF[613] -> U146(pdf_146) OX[5325] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[604] Block62 Char="a" PDF[614] -> U146(pdf_146) OX[5326] -> U447(93801) | MATCH continue_existing_assignment cnt:3
[605] Block62 Char="n" PDF[615] -> U146(pdf_146) OX[5327] -> U447(93801) | MATCH continue_existing_assignment cnt:4
[606] Block62 Char="d" PDF[616] -> U146(pdf_146) OX[5328] -> U447(93801) | MATCH continue_existing_assignment cnt:5
[607] Block62 Char="t" PDF[617] -> U146(pdf_146) OX[5329] -> U447(93801) | MATCH continue_existing_assignment cnt:6
[608] Block62 Char="a" PDF[618] -> U146(pdf_146) OX[5330] -> U447(93801) | MATCH continue_existing_assignment cnt:7
[609] Block62 Char="t" PDF[619] -> U146(pdf_146) OX[5331] -> U447(93801) | MATCH continue_existing_assignment cnt:8
[610] Block62 Char="i" PDF[620] -> U146(pdf_146) OX[5332] -> U447(93801) | MATCH continue_existing_assignment cnt:9
[611] Block62 Char="s" PDF[621] -> U146(pdf_146) OX[5333] -> U447(93801) | MATCH continue_existing_assignment cnt:10
[612] Block62 Char="m" PDF[622] -> U147(pdf_147) OX[5334] -> U447(93801) | MATCH new_assignment cnt:1
[613] Block62 Char="d" PDF[623] -> U147(pdf_147) OX[5335] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[614] Block62 Char="t" PDF[624] -> U148(pdf_148) OX[5336] -> U447(93801) | MATCH new_assignment cnt:1
[615] Block62 Char="h" PDF[625] -> U148(pdf_148) OX[5337] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[616] Block62 Char="e" PDF[626] -> U148(pdf_148) OX[5338] -> U447(93801) | MATCH continue_existing_assignment cnt:3
[617] Block62 Char="n" PDF[627] -> U148(pdf_148) OX[5339] -> U447(93801) | MATCH continue_existing_assignment cnt:4
[618] Block62 Char="p" PDF[628] -> U149(pdf_149) OX[5340] -> U447(93801) | MATCH new_assignment cnt:1
[619] Block62 Char="g" PDF[629] -> U149(pdf_149) OX[5341] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[620] Block62 Char="=" PDF[630] -> U149(pdf_149) OX[5342] -> U447(93801) | MATCH continue_existing_assignment cnt:3
[621] Block62 Char="-" PDF[631] -> U150(pdf_150) OX[5343] -> U447(93801) | MATCH new_assignment cnt:1
[622] Block62 Char="0" PDF[632] -> U150(pdf_150) OX[5344] -> U447(93801) | MATCH continue_existing_assignment cnt:2
[623] Block62 Char="," PDF[633] -> U150(pdf_150) OX[5345] -> U447(93801) | MATCH continue_existing_assignment cnt:3
[624] Block62 Char="5" PDF[634] -> U150(pdf_150) OX[5346] -> U447(93801) | MATCH continue_existing_assignment cnt:4
[625] Block62 Char="4" PDF[635] -> U150(pdf_150) OX[5347] -> U447(93801) | MATCH continue_existing_assignment cnt:5
[626] Block62 Char="α" PDF[636] -> U151(pdf_151) OX[5348] -> U448(93802_r0_c0) | MATCH new_assignment cnt:1
[627] Block62 Char="-" PDF[637] -> U151(pdf_151) OX[5349] -> U448(93802_r0_c0) | MATCH continue_existing_assignment cnt:2
[628] Block62 Char="p" PDF[638] -> U151(pdf_151) OX[5350] -> U448(93802_r0_c0) | MATCH continue_existing_assignment cnt:3
[629] Block62 Char="r" PDF[639] -> U151(pdf_151) OX[5351] -> U448(93802_r0_c0) | MATCH continue_existing_assignment cnt:4
[630] Block62 Char="e" PDF[640] -> U151(pdf_151) OX[5352] -> U448(93802_r0_c0) | MATCH continue_existing_assignment cnt:5
[631] Block62 Char="d" PDF[641] -> U151(pdf_151) OX[5353] -> U448(93802_r0_c0) | MATCH continue_existing_assignment cnt:6
[632] Block62 Char="i" PDF[642] -> U151(pdf_151) OX[5354] -> U448(93802_r0_c0) | MATCH continue_existing_assignment cnt:7
[633] Block62 Char="k" PDF[643] -> U151(pdf_151) OX[5355] -> U448(93802_r0_c0) | MATCH continue_existing_assignment cnt:8
[634] Block62 Char="a" PDF[644] -> U151(pdf_151) OX[5356] -> U448(93802_r0_c0) | MATCH continue_existing_assignment cnt:9
[635] Block62 Char="t" PDF[645] -> U151(pdf_151) OX[5357] -> U448(93802_r0_c0) | MATCH continue_existing_assignment cnt:10
[636] Block63 Char="2" PDF[646] -> U151(pdf_151) OX[5360] -> U448(93802_r0_c0) | MATCH continue_existing_assignment cnt:11
[637] Block63 Char="=" PDF[647] -> U152(pdf_152) OX[5361] -> U449(93802_r0_c1) | MATCH new_assignment cnt:1
[638] Block63 Char="m" PDF[648] -> U153(pdf_153) OX[5362] -> U449(93802_r0_c1) | MATCH new_assignment cnt:1
[639] Block63 Char="i" PDF[649] -> U153(pdf_153) OX[5363] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:2
[640] Block63 Char="n" PDF[650] -> U153(pdf_153) OX[5364] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:3
[641] Block63 Char="μ" PDF[651] -> U154(pdf_154) OX[5365] -> U449(93802_r0_c1) | MATCH new_assignment cnt:1
[642] Block63 Char="c" PDF[652] -> U154(pdf_154) OX[5366] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:2
[643] Block63 Char="r" PDF[653] -> U154(pdf_154) OX[5367] -> U449(93802_r0_c1) | MATCH continue_existing_assignment cnt:3
