=== 2026-01-21T08:46:16 doc_id=489 page=7 phase=pass1 steps=822 min_openxml_idx=429 pdf_units=195 openxml_units=969 ===
[0] Block0 Char="μ" PDF[0] -> U0(pdf_0) OX[4142] -> U415(93770) | SKIP cross_page_backward: openxml_idx=415 < min_from_prev_page=429
[70] Block12 Char="8" PDF[71] -> U14(pdf_14) OX[4726] -> U431(93786) | MATCH continue_existing_assignment cnt:6
[71] Block12 Char="-" PDF[72] -> U14(pdf_14) OX[4727] -> U431(93786) | MATCH continue_existing_assignment cnt:7
[72] Block12 Char="1" PDF[73] -> U14(pdf_14) OX[4728] -> U431(93786) | MATCH continue_existing_assignment cnt:8
[73] Block12 Char="." PDF[74] -> U14(pdf_14) OX[4729] -> U431(93786) | MATCH continue_existing_assignment cnt:9
[74] Block12 Char="4" PDF[75] -> U14(pdf_14) OX[4730] -> U431(93786) | MATCH continue_existing_assignment cnt:10
[75] Block12 Char="1" PDF[76] -> U14(pdf_14) OX[4731] -> U431(93786) | MATCH continue_existing_assignment cnt:11
[76] Block13 Char="0" PDF[78] -> U16(pdf_16) OX[4733] -> U431(93786) | MATCH new_assignment cnt:1
[77] Block13 Char="." PDF[79] -> U16(pdf_16) OX[4734] -> U431(93786) | MATCH continue_existing_assignment cnt:2
[78] Block13 Char="2" PDF[80] -> U16(pdf_16) OX[4735] -> U431(93786) | MATCH continue_existing_assignment cnt:3
[79] Block13 Char="3" PDF[81] -> U16(pdf_16) OX[4736] -> U431(93786) | MATCH continue_existing_assignment cnt:4
[80] Block13 Char=")" PDF[82] -> U17(pdf_17) OX[4737] -> U431(93786) | MATCH new_assignment cnt:1
[81] Block14 Char="=" PDF[83] -> U18(pdf_18) OX[4741] -> U431(93786) | MATCH new_assignment cnt:1
[82] Block14 Char="1" PDF[84] -> U19(pdf_19) OX[4742] -> U431(93786) | MATCH new_assignment cnt:1
[83] Block14 Char="g" PDF[85] -> U20(pdf_20) OX[4743] -> U433(93788) | MATCH new_assignment cnt:1
[84] Block14 Char="p" PDF[86] -> U20(pdf_20) OX[4744] -> U433(93788) | MATCH continue_existing_assignment cnt:2
[85] Block14 Char="m" PDF[87] -> U20(pdf_20) OX[4745] -> U433(93788) | MATCH continue_existing_assignment cnt:3
[86] Block15 Char="μ" PDF[89] -> U22(pdf_22) OX[4746] -> U434(93789) | MATCH new_assignment cnt:1
[87] Block16 Char="l" PDF[90] -> U22(pdf_22) OX[4748] -> U434(93789) | MATCH continue_existing_assignment cnt:2
[88] Block16 Char="o" PDF[91] -> U22(pdf_22) OX[4749] -> U434(93789) | MATCH continue_existing_assignment cnt:3
[89] Block16 Char="(" PDF[92] -> U23(pdf_23) OX[4750] -> U434(93789) | MATCH new_assignment cnt:1
[90] Block16 Char="0" PDF[93] -> U23(pdf_23) OX[4751] -> U434(93789) | MATCH continue_existing_assignment cnt:2
[91] Block16 Char="." PDF[94] -> U23(pdf_23) OX[4752] -> U434(93789) | MATCH continue_existing_assignment cnt:3
[92] Block16 Char="1" PDF[95] -> U23(pdf_23) OX[4753] -> U434(93789) | MATCH continue_existing_assignment cnt:4
[93] Block16 Char="9" PDF[96] -> U23(pdf_23) OX[4754] -> U434(93789) | MATCH continue_existing_assignment cnt:5
[94] Block16 Char="," PDF[97] -> U23(pdf_23) OX[4755] -> U434(93789) | MATCH continue_existing_assignment cnt:6
[95] Block16 Char="0" PDF[98] -> U23(pdf_23) OX[4756] -> U434(93789) | MATCH continue_existing_assignment cnt:7
[96] Block16 Char="." PDF[99] -> U23(pdf_23) OX[4757] -> U434(93789) | MATCH continue_existing_assignment cnt:8
[97] Block16 Char="2" PDF[100] -> U23(pdf_23) OX[4758] -> U434(93789) | MATCH continue_existing_assignment cnt:9
[98] Block16 Char="9" PDF[101] -> U23(pdf_23) OX[4759] -> U434(93789) | MATCH continue_existing_assignment cnt:10
[99] Block16 Char="," PDF[102] -> U23(pdf_23) OX[4760] -> U434(93789) | MATCH continue_existing_assignment cnt:11
[100] Block16 Char="-" PDF[103] -> U23(pdf_23) OX[4761] -> U434(93789) | MATCH continue_existing_assignment cnt:12
[101] Block16 Char="0" PDF[104] -> U23(pdf_23) OX[4762] -> U434(93789) | MATCH continue_existing_assignment cnt:13
[102] Block16 Char="." PDF[105] -> U23(pdf_23) OX[4763] -> U434(93789) | MATCH continue_existing_assignment cnt:14
[103] Block16 Char="0" PDF[106] -> U23(pdf_23) OX[4764] -> U434(93789) | MATCH continue_existing_assignment cnt:15
[104] Block16 Char="8" PDF[107] -> U23(pdf_23) OX[4765] -> U434(93789) | MATCH continue_existing_assignment cnt:16
[105] Block16 Char=")" PDF[108] -> U23(pdf_23) OX[4766] -> U434(93789) | MATCH continue_existing_assignment cnt:17
[106] Block16 Char="=" PDF[109] -> U24(pdf_24) OX[4767] -> U434(93789) | MATCH new_assignment cnt:1
[107] Block16 Char="e" PDF[110] -> U25(pdf_25) OX[4768] -> U434(93789) | MATCH new_assignment cnt:1
[108] Block17 Char="-" PDF[111] -> U26(pdf_26) OX[4770] -> U434(93789) | MATCH new_assignment cnt:1
[109] Block18 Char="1" PDF[112] -> U26(pdf_26) OX[4772] -> U434(93789) | MATCH continue_existing_assignment cnt:2
[110] Block19 Char="2" PDF[113] -> U27(pdf_27) OX[4774] -> U434(93789) | MATCH new_assignment cnt:1
[111] Block20 Char="(" PDF[114] -> U27(pdf_27) OX[4777] -> U434(93789) | MATCH continue_existing_assignment cnt:2
[112] Block20 Char="0" PDF[115] -> U27(pdf_27) OX[4778] -> U434(93789) | MATCH continue_existing_assignment cnt:3
[113] Block20 Char="." PDF[116] -> U27(pdf_27) OX[4779] -> U434(93789) | MATCH continue_existing_assignment cnt:4
[114] Block20 Char="1" PDF[117] -> U27(pdf_27) OX[4780] -> U434(93789) | MATCH continue_existing_assignment cnt:5
[115] Block20 Char="9" PDF[118] -> U27(pdf_27) OX[4781] -> U434(93789) | MATCH continue_existing_assignment cnt:6
[116] Block20 Char="-" PDF[119] -> U27(pdf_27) OX[4782] -> U434(93789) | MATCH continue_existing_assignment cnt:7
[117] Block20 Char="(" PDF[120] -> U27(pdf_27) OX[4783] -> U434(93789) | MATCH continue_existing_assignment cnt:8
[118] Block20 Char="-" PDF[121] -> U27(pdf_27) OX[4784] -> U434(93789) | MATCH continue_existing_assignment cnt:9
[119] Block20 Char="0" PDF[122] -> U27(pdf_27) OX[4785] -> U434(93789) | MATCH continue_existing_assignment cnt:10
[120] Block20 Char="." PDF[123] -> U27(pdf_27) OX[4786] -> U434(93789) | MATCH continue_existing_assignment cnt:11
[121] Block20 Char="0" PDF[124] -> U27(pdf_27) OX[4787] -> U434(93789) | MATCH continue_existing_assignment cnt:12
[122] Block20 Char="8" PDF[125] -> U27(pdf_27) OX[4788] -> U434(93789) | MATCH continue_existing_assignment cnt:13
[123] Block20 Char=")" PDF[126] -> U27(pdf_27) OX[4789] -> U434(93789) | MATCH continue_existing_assignment cnt:14
[124] Block21 Char="0" PDF[127] -> U28(pdf_28) OX[4791] -> U434(93789) | MATCH new_assignment cnt:1
[125] Block21 Char="." PDF[128] -> U28(pdf_28) OX[4792] -> U434(93789) | MATCH continue_existing_assignment cnt:2
[126] Block21 Char="2" PDF[129] -> U28(pdf_28) OX[4793] -> U434(93789) | MATCH continue_existing_assignment cnt:3
[127] Block21 Char="9" PDF[130] -> U28(pdf_28) OX[4794] -> U434(93789) | MATCH continue_existing_assignment cnt:4
[128] Block21 Char=")" PDF[131] -> U29(pdf_29) OX[4795] -> U434(93789) | MATCH new_assignment cnt:1
[129] Block22 Char="=" PDF[132] -> U30(pdf_30) OX[4799] -> U434(93789) | MATCH new_assignment cnt:1
[130] Block22 Char="0" PDF[133] -> U31(pdf_31) OX[4800] -> U434(93789) | MATCH new_assignment cnt:1
[131] Block22 Char="." PDF[134] -> U31(pdf_31) OX[4801] -> U434(93789) | MATCH continue_existing_assignment cnt:2
[132] Block22 Char="7" PDF[135] -> U31(pdf_31) OX[4802] -> U434(93789) | MATCH continue_existing_assignment cnt:3
[133] Block22 Char="5" PDF[136] -> U31(pdf_31) OX[4803] -> U434(93789) | MATCH continue_existing_assignment cnt:4
[134] Block23 Char="μ" PDF[138] -> U33(pdf_33) OX[4804] -> U435(93790) | MATCH new_assignment cnt:1
[135] Block24 Char="m" PDF[139] -> U33(pdf_33) OX[4806] -> U435(93790) | MATCH continue_existing_assignment cnt:2
[136] Block24 Char="d" PDF[140] -> U33(pdf_33) OX[4807] -> U435(93790) | MATCH continue_existing_assignment cnt:3
[137] Block24 Char="(" PDF[141] -> U34(pdf_34) OX[4808] -> U435(93790) | MATCH new_assignment cnt:1
[138] Block24 Char="0" PDF[142] -> U34(pdf_34) OX[4809] -> U435(93790) | MATCH continue_existing_assignment cnt:2
[139] Block24 Char="." PDF[143] -> U34(pdf_34) OX[4810] -> U435(93790) | MATCH continue_existing_assignment cnt:3
[140] Block24 Char="1" PDF[144] -> U34(pdf_34) OX[4811] -> U435(93790) | MATCH continue_existing_assignment cnt:4
[141] Block24 Char="9" PDF[145] -> U34(pdf_34) OX[4812] -> U435(93790) | MATCH continue_existing_assignment cnt:5
[142] Block24 Char="," PDF[146] -> U34(pdf_34) OX[4813] -> U435(93790) | MATCH continue_existing_assignment cnt:6
[143] Block24 Char="0" PDF[147] -> U34(pdf_34) OX[4814] -> U435(93790) | MATCH continue_existing_assignment cnt:7
[144] Block24 Char="." PDF[148] -> U34(pdf_34) OX[4815] -> U435(93790) | MATCH continue_existing_assignment cnt:8
[145] Block24 Char="2" PDF[149] -> U34(pdf_34) OX[4816] -> U435(93790) | MATCH continue_existing_assignment cnt:9
[146] Block24 Char="0" PDF[150] -> U34(pdf_34) OX[4817] -> U435(93790) | MATCH continue_existing_assignment cnt:10
[147] Block24 Char="," PDF[151] -> U34(pdf_34) OX[4818] -> U435(93790) | MATCH continue_existing_assignment cnt:11
[148] Block24 Char="0" PDF[152] -> U34(pdf_34) OX[4819] -> U435(93790) | MATCH continue_existing_assignment cnt:12
[149] Block24 Char="." PDF[153] -> U34(pdf_34) OX[4820] -> U435(93790) | MATCH continue_existing_assignment cnt:13
[150] Block24 Char="6" PDF[154] -> U34(pdf_34) OX[4821] -> U435(93790) | MATCH continue_existing_assignment cnt:14
[151] Block24 Char="2" PDF[155] -> U34(pdf_34) OX[4822] -> U435(93790) | MATCH continue_existing_assignment cnt:15
[152] Block24 Char=")" PDF[156] -> U34(pdf_34) OX[4823] -> U435(93790) | MATCH continue_existing_assignment cnt:16
[153] Block24 Char="=" PDF[157] -> U35(pdf_35) OX[4824] -> U435(93790) | MATCH new_assignment cnt:1
[154] Block24 Char="e" PDF[158] -> U36(pdf_36) OX[4825] -> U435(93790) | MATCH new_assignment cnt:1
[155] Block25 Char="-" PDF[159] -> U36(pdf_36) OX[4827] -> U435(93790) | MATCH continue_existing_assignment cnt:2
[156] Block26 Char="1" PDF[160] -> U36(pdf_36) OX[4829] -> U435(93790) | MATCH continue_existing_assignment cnt:3
[157] Block27 Char="2" PDF[161] -> U37(pdf_37) OX[4831] -> U435(93790) | MATCH new_assignment cnt:1
[158] Block28 Char="(" PDF[162] -> U37(pdf_37) OX[4834] -> U435(93790) | MATCH continue_existing_assignment cnt:2
[159] Block28 Char="0" PDF[163] -> U37(pdf_37) OX[4835] -> U435(93790) | MATCH continue_existing_assignment cnt:3
[160] Block28 Char="." PDF[164] -> U37(pdf_37) OX[4836] -> U435(93790) | MATCH continue_existing_assignment cnt:4
[161] Block28 Char="1" PDF[165] -> U37(pdf_37) OX[4837] -> U435(93790) | MATCH continue_existing_assignment cnt:5
[162] Block28 Char="9" PDF[166] -> U37(pdf_37) OX[4838] -> U435(93790) | MATCH continue_existing_assignment cnt:6
[163] Block28 Char="-" PDF[167] -> U37(pdf_37) OX[4839] -> U435(93790) | MATCH continue_existing_assignment cnt:7
