=== 2026-01-31T05:18:32 doc_id=552 page=5 phase=pass1 steps=1404 min_openxml_idx=50 pdf_units=175 openxml_units=62 ===
[0] Block0 Char="1" PDF[0] -> U0(pdf_1) OX[387] -> U6(108240) | SKIP cross_page_backward: openxml_idx=6 < min_from_prev_page=50
[73] Block2 Char="k" PDF[75] -> U13(pdf_14) OX[6019] -> U52(108286) | MATCH new_assignment cnt:1
[74] Block2 Char="o" PDF[76] -> U13(pdf_14) OX[6020] -> U52(108286) | MATCH continue_existing_assignment cnt:2
[75] Block2 Char="n" PDF[77] -> U13(pdf_14) OX[6021] -> U52(108286) | MATCH continue_existing_assignment cnt:3
[76] Block2 Char="t" PDF[78] -> U13(pdf_14) OX[6022] -> U52(108286) | MATCH continue_existing_assignment cnt:4
[77] Block2 Char="e" PDF[79] -> U13(pdf_14) OX[6023] -> U52(108286) | MATCH continue_existing_assignment cnt:5
[78] Block2 Char="k" PDF[80] -> U13(pdf_14) OX[6024] -> U52(108286) | MATCH continue_existing_assignment cnt:6
[79] Block2 Char="s" PDF[81] -> U13(pdf_14) OX[6025] -> U52(108286) | MATCH continue_existing_assignment cnt:7
[80] Block2 Char="," PDF[82] -> U13(pdf_14) OX[6026] -> U52(108286) | MATCH continue_existing_assignment cnt:8
[81] Block2 Char="y" PDF[83] -> U14(pdf_15) OX[6027] -> U52(108286) | MATCH new_assignment cnt:1
[82] Block2 Char="a" PDF[84] -> U14(pdf_15) OX[6028] -> U52(108286) | MATCH continue_existing_assignment cnt:2
[83] Block2 Char="i" PDF[85] -> U14(pdf_15) OX[6029] -> U52(108286) | MATCH continue_existing_assignment cnt:3
[84] Block2 Char="t" PDF[86] -> U14(pdf_15) OX[6030] -> U52(108286) | MATCH continue_existing_assignment cnt:4
[85] Block2 Char="u" PDF[87] -> U14(pdf_15) OX[6031] -> U52(108286) | MATCH continue_existing_assignment cnt:5
[86] Block2 Char="i" PDF[88] -> U15(pdf_16) OX[6032] -> U52(108286) | MATCH new_assignment cnt:1
[87] Block2 Char="n" PDF[89] -> U15(pdf_16) OX[6033] -> U52(108286) | MATCH continue_existing_assignment cnt:2
[88] Block2 Char="f" PDF[90] -> U15(pdf_16) OX[6034] -> U52(108286) | MATCH continue_existing_assignment cnt:3
[89] Block2 Char="o" PDF[91] -> U15(pdf_16) OX[6035] -> U52(108286) | MATCH continue_existing_assignment cnt:4
[90] Block2 Char="r" PDF[92] -> U15(pdf_16) OX[6036] -> U52(108286) | MATCH continue_existing_assignment cnt:5
[91] Block2 Char="m" PDF[93] -> U15(pdf_16) OX[6037] -> U52(108286) | MATCH continue_existing_assignment cnt:6
[92] Block2 Char="a" PDF[94] -> U15(pdf_16) OX[6038] -> U52(108286) | MATCH continue_existing_assignment cnt:7
[93] Block2 Char="s" PDF[95] -> U15(pdf_16) OX[6039] -> U52(108286) | MATCH continue_existing_assignment cnt:8
[94] Block2 Char="i" PDF[96] -> U15(pdf_16) OX[6040] -> U52(108286) | MATCH continue_existing_assignment cnt:9
[95] Block2 Char="t" PDF[97] -> U16(pdf_17) OX[6041] -> U52(108286) | MATCH new_assignment cnt:1
[96] Block2 Char="a" PDF[98] -> U16(pdf_17) OX[6042] -> U52(108286) | MATCH continue_existing_assignment cnt:2
[97] Block2 Char="m" PDF[99] -> U16(pdf_17) OX[6043] -> U52(108286) | MATCH continue_existing_assignment cnt:3
[98] Block2 Char="b" PDF[100] -> U16(pdf_17) OX[6044] -> U52(108286) | MATCH continue_existing_assignment cnt:4
[99] Block2 Char="a" PDF[101] -> U16(pdf_17) OX[6045] -> U52(108286) | MATCH continue_existing_assignment cnt:5
[100] Block2 Char="h" PDF[102] -> U16(pdf_17) OX[6046] -> U52(108286) | MATCH continue_existing_assignment cnt:6
[101] Block2 Char="a" PDF[103] -> U16(pdf_17) OX[6047] -> U52(108286) | MATCH continue_existing_assignment cnt:7
[102] Block2 Char="n" PDF[104] -> U16(pdf_17) OX[6048] -> U52(108286) | MATCH continue_existing_assignment cnt:8
[103] Block2 Char="y" PDF[105] -> U17(pdf_18) OX[6049] -> U52(108286) | MATCH new_assignment cnt:1
[104] Block2 Char="a" PDF[106] -> U17(pdf_18) OX[6050] -> U52(108286) | MATCH continue_existing_assignment cnt:2
[105] Block2 Char="n" PDF[107] -> U17(pdf_18) OX[6051] -> U52(108286) | MATCH continue_existing_assignment cnt:3
[106] Block2 Char="g" PDF[108] -> U17(pdf_18) OX[6052] -> U52(108286) | MATCH continue_existing_assignment cnt:4
[107] Block2 Char="m" PDF[109] -> U18(pdf_19) OX[6053] -> U52(108286) | MATCH new_assignment cnt:1
[108] Block2 Char="e" PDF[110] -> U18(pdf_19) OX[6054] -> U52(108286) | MATCH continue_existing_assignment cnt:2
[109] Block2 Char="m" PDF[111] -> U18(pdf_19) OX[6055] -> U52(108286) | MATCH continue_existing_assignment cnt:3
[110] Block2 Char="b" PDF[112] -> U18(pdf_19) OX[6056] -> U52(108286) | MATCH continue_existing_assignment cnt:4
[111] Block2 Char="a" PDF[113] -> U18(pdf_19) OX[6057] -> U52(108286) | MATCH continue_existing_assignment cnt:5
[112] Block2 Char="n" PDF[114] -> U18(pdf_19) OX[6058] -> U52(108286) | MATCH continue_existing_assignment cnt:6
[113] Block2 Char="t" PDF[115] -> U18(pdf_19) OX[6059] -> U52(108286) | MATCH continue_existing_assignment cnt:7
[114] Block2 Char="u" PDF[116] -> U18(pdf_19) OX[6060] -> U52(108286) | MATCH continue_existing_assignment cnt:8
[115] Block2 Char="m" PDF[117] -> U19(pdf_20) OX[6061] -> U52(108286) | MATCH new_assignment cnt:1
[116] Block2 Char="e" PDF[118] -> U19(pdf_20) OX[6062] -> U52(108286) | MATCH continue_existing_assignment cnt:2
